Puntaje obtenido	Número de movimientos	Número de Singletons Finales	Jugada con mayor puntaje	Solución+(secuencia de Jugadas)	Matriz

638	58	40	132	[5,2][9,14][5,6][7,5][2,12][11,2][2,0][12,11][4,10][14,0][8,13][5,10][12,3][7,3][9,10][6,7][13,9][4,14][6,3][6,3][8,2][12,13][5,12][8,11][14,1][9,10][8,5][4,6][10,4][9,9][5,8][6,13][7,7][10,1][10,0][9,9][11,3][7,6][12,0][11,2][9,13][12,7][12,0][12,11][13,1][11,14][14,2][11,14][10,8][12,9][10,6][12,7][12,13][12,14][10,5][14,14][12,6][12,7]	1  4  1  1  1  3  2  2  5  5  3  3  1  1  5  
					3  3  3  2  3  5  2  4  5  2  3  2  3  5  3  
					3  2  2  5  5  5  4  3  5  5  1  2  3  3  3  
					2  4  5  5  5  4  2  1  3  1  3  1  4  2  5  
					5  2  3  3  4  5  3  5  4  1  3  2  5  2  1  
					5  5  3  4  3  3  3  3  3  5  2  4  3  1  2  
					2  5  2  1  5  3  4  4  3  2  4  5  4  4  5  
					4  5  2  1  1  5  2  1  3  1  1  1  3  5  3  
					3  3  2  5  1  4  2  4  3  1  5  4  2  4  2  
					4  5  4  2  5  1  2  3  2  1  2  2  3  2  2  
					5  5  3  5  2  3  2  3  1  3  2  3  4  3  1  
					1  5  1  4  1  2  3  2  4  5  1  3  5  2  3  
					5  3  1  2  2  5  4  3  2  3  1  3  4  4  1  
					3  4  2  3  2  3  1  3  1  3  2  2  1  2  3  
					3  4  2  5  4  5  4  5  3  4  2  1  4  3  2  
					

854	48	30	132	[8,12][0,4][6,6][5,7][5,9][10,9][10,1][9,3][10,3][2,13][6,11][8,5][6,12][13,10][5,14][10,6][6,11][7,3][9,13][6,0][13,14][11,12][7,6][8,14][11,8][10,12][12,12][14,12][14,7][9,11][8,2][13,8][13,8][8,4][10,11][14,8][10,5][13,2][11,5][13,7][11,7][14,12][7,9][14,9][14,9][12,14][14,8][14,10]	5  1  3  1  5  1  3  2  2  5  5  5  3  1  1  
					3  4  2  1  5  5  2  3  2  2  5  2  5  2  1  
					3  3  5  4  1  3  2  3  4  5  4  3  4  4  4  
					5  3  2  1  1  4  2  3  2  1  4  5  1  5  3  
					2  5  1  1  1  1  5  5  3  5  4  3  3  5  3  
					5  5  2  1  4  4  5  3  4  5  3  5  1  3  3  
					4  5  4  2  5  5  5  3  1  2  3  3  1  4  2  
					5  1  2  1  5  1  2  2  4  4  2  1  3  1  5  
					3  5  5  5  4  4  5  1  5  2  5  4  3  5  3  
					3  2  2  2  4  3  4  1  2  5  1  3  2  5  5  
					3  3  3  2  1  4  3  3  2  5  3  3  2  4  3  
					2  4  5  5  3  3  3  2  4  2  5  4  3  3  1  
					1  5  3  2  5  3  2  1  4  2  4  2  3  2  2  
					1  3  4  2  4  1  5  5  1  2  4  3  3  2  2  
					4  1  2  1  2  5  5  2  5  2  4  2  4  2  2  
					

666	63	19	90	[7,7][9,12][12,11][14,4][2,4][0,1][10,11][12,5][5,9][6,11][8,2][5,14][13,3][3,8][7,13][6,3][13,12][5,7][14,9][6,9][11,3][12,1][9,3][11,8][9,4][13,8][14,12][10,13][11,10][11,12][12,6][10,14][14,9][13,13][14,4][8,7][13,11][14,4][14,4][10,6][12,1][14,10][13,7][13,13][9,3][13,13][13,3][14,10][13,10][12,5][14,9][14,11][14,9][14,9][14,9][14,9][13,7][14,12][14,12][8,14][12,9][10,9][12,9]	3  5  3  3  4  5  3  1  5  4  1  2  1  4  5  
					1  5  5  2  2  5  2  2  1  5  3  2  3  2  5  
					3  2  5  4  1  4  4  1  1  1  3  1  1  1  2  
					2  3  1  1  3  4  3  3  5  2  4  3  1  3  5  
					5  2  1  1  4  4  1  5  3  3  5  2  5  4  2  
					2  3  4  5  1  2  1  1  1  2  3  2  2  1  1  
					3  4  3  2  2  5  3  1  2  1  2  2  5  3  1  
					1  2  1  1  1  5  1  4  4  4  4  3  3  1  3  
					4  3  4  1  5  3  5  5  3  5  1  3  2  1  2  
					1  4  4  2  3  1  3  1  5  3  4  1  1  2  5  
					3  2  3  2  4  3  3  4  5  4  5  4  5  2  3  
					3  4  5  4  3  4  1  1  5  5  3  3  2  3  5  
					4  1  1  3  2  4  1  5  3  1  3  3  4  4  1  
					3  5  2  3  4  5  2  4  2  5  1  2  3  3  1  
					5  1  5  2  4  5  1  1  1  1  1  2  2  3  5  
					

692	60	28	132	[7,0][1,10][7,13][7,10][4,6][3,5][4,7][12,11][12,1][7,13][10,2][12,4][1,14][8,5][10,10][3,2][7,7][3,7][11,13][6,10][13,6][7,0][11,0][11,9][13,0][13,6][6,3][5,8][9,8][9,1][8,9][9,8][14,1][11,9][7,14][11,4][13,9][7,12][7,4][11,7][11,1][8,12][12,3][13,7][11,3][14,6][13,5][11,3][11,13][14,13][12,11][13,8][13,5][14,5][14,2][14,4][14,9][14,9][14,10][14,10]	1  4  1  4  3  5  3  3  3  2  1  2  3  5  3  
					3  4  4  2  4  1  5  2  3  5  4  2  2  3  4  
					2  3  4  5  4  3  1  2  2  5  4  3  5  4  4  
					5  2  1  1  4  2  2  1  1  1  5  3  1  3  2  
					4  2  5  3  2  5  2  4  4  2  1  2  5  4  1  
					5  5  4  4  1  5  2  5  4  4  4  1  1  3  2  
					4  2  1  1  4  5  5  5  5  1  1  4  2  4  1  
					2  3  2  1  1  1  4  4  4  4  3  5  3  3  2  
					2  4  4  4  3  4  3  2  5  4  3  5  4  4  2  
					5  1  1  5  1  4  1  4  3  5  4  5  1  5  4  
					5  3  1  5  5  4  3  4  1  1  3  1  5  2  3  
					2  5  4  3  5  2  1  3  4  3  3  3  1  5  1  
					2  5  1  4  2  2  5  1  2  1  4  2  2  4  2  
					5  2  2  3  4  2  3  1  5  1  1  5  3  5  5  
					4  2  4  5  3  5  3  4  1  1  3  4  5  5  1  
					

1034	47	18	132	[4,8][0,3][8,10][8,12][9,10][12,6][7,9][4,11][8,9][7,11][6,14][12,2][10,2][10,6][10,12][5,13][8,2][10,7][12,5][12,4][11,9][9,2][9,3][11,1][12,4][12,8][14,4][6,13][14,5][12,13][14,11][10,11][14,3][14,11][12,3][12,12][12,12][12,7][14,11][11,3][14,4][14,14][12,13][14,12][14,13][13,13][14,13]	2  3  5  3  3  5  4  4  1  2  5  4  1  2  1  
					1  5  2  3  5  1  5  4  3  1  5  1  2  5  2  
					5  2  3  2  5  2  3  4  5  5  1  5  4  1  5  
					3  5  3  3  5  4  1  1  2  5  1  1  1  5  3  
					3  2  5  1  4  3  4  4  4  1  2  3  2  2  1  
					3  4  2  4  1  3  1  1  1  5  3  2  5  5  1  
					5  4  1  5  2  1  1  5  4  5  2  5  2  3  4  
					5  3  2  3  3  3  4  1  1  3  5  2  5  3  2  
					2  2  4  1  4  4  2  5  1  2  2  1  3  3  2  
					1  3  1  2  2  4  1  1  1  4  5  4  4  1  3  
					2  1  1  5  3  5  1  1  5  3  5  5  4  1  5  
					4  2  1  3  1  1  5  5  2  2  4  4  4  5  5  
					1  1  2  2  3  1  4  4  1  1  5  2  3  5  5  
					2  4  1  5  1  5  5  4  4  4  3  2  3  4  2  
					4  1  1  4  1  3  2  5  4  4  1  2  4  1  1  
					

594	68	23	182	[4,4][5,14][5,1][7,7][4,10][13,12][9,11][7,10][8,6][12,13][13,7][11,11][9,2][7,14][10,10][6,7][9,10][8,0][11,12][10,12][4,8][10,4][13,9][12,9][7,14][11,7][8,4][7,5][9,0][8,13][14,2][9,13][10,4][8,0][8,3][14,10][12,12][7,4][10,2][14,7][13,9][14,6][13,5][11,6][13,3][11,2][14,7][11,4][10,1][9,14][11,9][11,11][13,11][12,9][12,3][11,2][14,7][13,12][11,2][13,9][13,3][13,3][14,12][12,4][14,13][14,12][14,13][14,11]	4  3  4  1  2  2  5  2  2  4  1  3  2  1  3  
					1  1  1  4  4  3  3  2  3  1  2  4  3  5  3  
					5  2  3  1  3  1  1  3  5  4  1  5  4  5  4  
					5  1  2  1  4  5  3  5  5  1  3  2  2  1  3  
					1  2  1  5  1  1  4  5  4  4  5  5  2  5  3  
					2  2  4  5  3  1  5  2  3  2  5  2  4  5  3  
					2  3  5  4  5  5  2  2  1  3  2  1  5  4  2  
					5  4  1  3  1  3  5  3  3  4  1  2  1  3  2  
					5  2  3  1  2  4  2  2  3  4  1  2  2  5  2  
					1  5  4  4  4  5  1  1  5  5  4  4  5  5  4  
					4  3  5  3  1  1  5  1  5  2  5  4  1  4  3  
					3  1  1  5  1  3  5  3  4  5  1  2  5  3  5  
					2  5  5  1  4  1  5  2  2  3  4  4  1  2  4  
					3  4  2  4  1  3  3  3  2  3  5  3  1  2  1  
					4  1  5  5  2  4  3  5  3  2  4  2  5  2  4  
					

888	54	37	240	[12,12][13,4][10,3][5,5][12,3][4,6][5,8][7,10][10,10][10,10][11,11][8,4][10,3][11,13][9,2][10,4][8,6][14,12][12,1][13,11][8,14][12,7][6,5][9,14][9,8][8,5][12,5][9,12][13,1][13,1][14,11][3,7][14,14][5,7][9,2][11,13][8,7][13,12][13,5][14,2][13,8][12,1][13,3][13,6][12,7][14,6][14,6][13,1][14,1][13,2][14,2][14,6][13,4][13,5]	4  4  2  2  4  1  4  1  1  3  1  3  4  4  5  
					1  3  1  2  3  2  3  2  3  1  5  4  2  3  1  
					4  3  5  3  1  5  5  2  5  1  5  2  5  2  4  
					3  3  2  3  2  5  2  4  2  1  5  2  1  4  3  
					1  4  3  4  3  1  2  1  4  3  1  4  1  2  5  
					4  4  5  1  1  1  4  2  5  5  3  4  1  5  1  
					2  1  4  3  1  4  1  1  5  1  3  5  3  4  4  
					4  5  1  4  4  3  3  2  4  5  3  1  2  2  2  
					1  3  2  4  2  2  3  3  1  4  1  4  1  3  5  
					2  3  3  1  1  2  5  2  4  1  1  3  2  4  3  
					1  4  5  1  2  5  4  5  2  3  3  5  5  3  1  
					3  4  1  4  4  4  3  4  2  3  1  5  2  5  3  
					3  3  3  2  3  4  2  5  5  5  2  1  1  1  5  
					4  3  5  3  1  3  2  2  2  2  1  5  5  5  1  
					2  5  5  2  1  5  4  3  5  2  2  1  5  4  4  
					

956	61	14	342	[9,2][12,4][13,14][13,7][3,4][11,14][10,1][3,12][4,14][3,11][13,11][7,10][3,7][5,12][12,0][6,2][9,8][5,4][13,11][9,1][6,6][10,12][14,11][7,10][6,8][10,5][12,2][7,4][12,10][13,12][14,11][14,14][10,6][13,1][10,6][7,9][10,9][11,8][12,2][14,13][12,2][13,13][13,6][11,2][11,14][14,0][14,9][10,0][14,0][13,3][9,13][14,8][14,5][12,5][14,10][14,5][14,11][13,13][12,7][14,6][14,14]	5  3  4  1  1  5  5  4  1  5  3  1  1  5  1  
					2  3  5  2  4  4  5  1  5  1  2  1  5  5  3  
					1  2  2  1  1  5  5  1  5  5  1  1  4  1  3  
					1  1  1  2  1  5  3  2  5  4  2  1  4  1  3  
					2  1  4  3  2  1  2  5  4  5  3  2  1  2  2  
					5  5  2  4  5  4  2  4  4  3  3  3  5  3  4  
					5  3  4  5  2  5  3  1  1  3  5  5  1  1  2  
					3  2  5  5  1  4  3  5  5  3  1  3  1  5  3  
					2  1  1  5  3  3  4  3  4  2  1  1  5  4  1  
					3  2  1  4  4  5  4  3  4  4  2  5  1  1  1  
					5  1  3  2  4  5  5  4  3  3  5  4  1  2  2  
					5  1  2  5  2  3  5  5  4  1  4  5  2  5  2  
					1  2  5  2  2  4  4  4  5  4  3  5  5  4  1  
					1  2  2  1  2  5  2  2  4  1  4  2  5  5  5  
					1  1  4  5  1  5  5  3  2  3  4  5  1  3  1  
					

614	53	54	132	[7,3][2,14][5,13][10,9][12,5][12,8][8,14][10,3][6,13][6,10][10,14][5,7][3,3][10,3][9,4][13,3][8,14][10,1][12,9][4,11][1,0][5,11][9,6][4,7][10,3][12,6][11,2][10,2][11,9][11,12][8,5][13,3][9,5][12,6][9,8][10,14][9,10][9,13][9,12][12,10][10,9][13,2][11,11][13,9][7,11][9,12][10,0][14,3][14,5][13,8][12,5][13,6][14,5]	3  1  3  4  2  2  5  3  2  2  1  4  3  2  4  
					3  4  4  3  3  3  1  3  1  4  3  4  1  4  5  
					5  1  3  3  5  3  4  3  2  3  3  3  3  5  2  
